enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K02773,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2326,c_000000000012,,galactitol PTS system EIIA component [EC:2.7.1.200],
K15580,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1387,c_000000000004,,oligopeptide transport system substrate-binding protein,
K03292,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,200,c_000000000001,,"glycoside/pentoside/hexuronide:cation symporter, GPH family",
K03292,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,199,c_000000000001,,"glycoside/pentoside/hexuronide:cation symporter, GPH family",
K07727,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1127,c_000000000003,,putative transcriptional regulator,
K00980,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1570,c_000000000005,,glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39],
K00980,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1591,c_000000000005,,glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39],
K19424,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1586,c_000000000005,,glycosyltransferase EpsF [EC:2.4.-.-],
K19424,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1572,c_000000000005,,glycosyltransferase EpsF [EC:2.4.-.-],
K25904,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1569,c_000000000005,,exopolysaccharide biosynthesis glucuronosyltransferase PssE,
K19423,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1587,c_000000000005,,glycosyltransferase EpsE [EC:2.4.-.-],
K01154,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,905,c_000000000002,,"type I restriction enzyme, S subunit [EC:3.1.21.3]",
K01154,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,906,c_000000000002,,"type I restriction enzyme, S subunit [EC:3.1.21.3]",
K00917,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2331,c_000000000012,,tagatose 6-phosphate kinase [EC:2.7.1.144],
K01635,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2330,c_000000000012,,"tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]",
K02099,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,202,c_000000000001,,"AraC family transcriptional regulator, arabinose operon regulatory protein",
K02466,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,207,c_000000000001,,glucitol operon activator protein,
K16702,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2837,c_000000000023,,amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-],
K00561,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2997,c_000000000035,,23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184],
K07729,Reference_reformatted,Reference_reformatted,1432,c_000000000001,,putative transcriptional regulator,
K01154,Reference_reformatted,Reference_reformatted,1989,c_000000000001,,"type I restriction enzyme, S subunit [EC:3.1.21.3]",
K22213,Reference_reformatted,Reference_reformatted,826,c_000000000001,,6-methylsalicylate decarboxylase [EC:4.1.1.52],
K00661,Type_Strain_reformatted,Type_Strain_reformatted,1066,c_000000000001,,maltose O-acetyltransferase [EC:2.3.1.79],
K07271,Type_Strain_reformatted,Type_Strain_reformatted,1067,c_000000000001,,lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-],
