enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K04043,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1946,c_000000000020,,molecular chaperone DnaK,
K02340,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1869,c_000000000018,,DNA polymerase III subunit delta [EC:2.7.7.7],
K03705,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1948,c_000000000020,,heat-inducible transcriptional repressor,
K04095,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2080,c_000000000022,,"cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]",
K03671,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2723,c_000000000044,,thioredoxin,
K03671,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1111,c_000000000008,,thioredoxin,
K03671,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2023,c_000000000021,,thioredoxin,
K03697,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1894,c_000000000019,,ATP-dependent Clp protease ATP-binding subunit ClpE,
K02238,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1870,c_000000000018,,competence protein ComEC,
K02760,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2103,c_000000000023,,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205],
K02760,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2270,c_000000000028,,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205],
K02760,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1815,c_000000000017,,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205],
K02600,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1962,c_000000000020,,transcription termination/antitermination protein NusA,
K00759,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1832,c_000000000018,,adenine phosphoribosyltransferase [EC:2.4.2.7],
K10947,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1260,c_000000000010,,PadR family transcriptional regulator,
K10947,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1765,c_000000000017,,PadR family transcriptional regulator,
K10947,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3311,c_000000000144,,PadR family transcriptional regulator,
K02358,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1862,c_000000000018,,elongation factor Tu,
K06881,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2283,c_000000000028,,bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],
K06881,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2031,c_000000000021,,bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],
K00980,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1913,c_000000000019,,glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39],
K13678,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1889,c_000000000019,,"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]",
K20265,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1789,c_000000000017,,glutamate:GABA antiporter,
K20265,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2087,c_000000000023,,glutamate:GABA antiporter,
K01493,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1871,c_000000000018,,dCMP deaminase [EC:3.5.4.12],
K07586,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1920,c_000000000019,,uncharacterized protein,
K00773,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2034,c_000000000021,,queuine tRNA-ribosyltransferase [EC:2.4.2.29],
K01519,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2020,c_000000000021,,XTP/dITP diphosphohydrolase [EC:3.6.1.66],
K01519,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1333,c_000000000010,,XTP/dITP diphosphohydrolase [EC:3.6.1.66],
K09384,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1745,c_000000000016,,uncharacterized protein,
K09384,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3026,c_000000000065,,uncharacterized protein,
K15583,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1898,c_000000000019,,oligopeptide transport system ATP-binding protein,
K15583,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1306,c_000000000010,,oligopeptide transport system ATP-binding protein,
K19420,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1852,c_000000000018,,protein tyrosine kinase modulator,
K07742,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1961,c_000000000020,,uncharacterized protein,
K18892,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1797,c_000000000017,,"ATP-binding cassette, subfamily B, multidrug efflux pump",
K07568,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2035,c_000000000021,,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17],
K08316,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1876,c_000000000018,,16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171],
K02834,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1958,c_000000000020,,ribosome-binding factor A,
K12574,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1864,c_000000000018,,ribonuclease J [EC:3.1.-.-],
K12574,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1484,c_000000000012,,ribonuclease J [EC:3.1.-.-],
K01246,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1161,c_000000000008,,DNA-3-methyladenine glycosylase I [EC:3.2.2.20],
K01246,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1803,c_000000000017,,DNA-3-methyladenine glycosylase I [EC:3.2.2.20],
K01246,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1331,c_000000000010,,DNA-3-methyladenine glycosylase I [EC:3.2.2.20],
K02968,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1868,c_000000000018,,small subunit ribosomal protein S20,
K15582,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1899,c_000000000019,,oligopeptide transport system permease protein,
K03686,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1945,c_000000000020,,molecular chaperone DnaJ,
K02956,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1867,c_000000000018,,small subunit ribosomal protein S15,
K09963,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1121,c_000000000008,,uncharacterized protein,
K09963,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2115,c_000000000023,,uncharacterized protein,
K09963,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2047,c_000000000022,,uncharacterized protein,
K07027,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1888,c_000000000019,,glycosyltransferase 2 family protein,
K18891,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1796,c_000000000017,,"ATP-binding cassette, subfamily B, multidrug efflux pump",
K01872,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2029,c_000000000021,,alanyl-tRNA synthetase [EC:6.1.1.7],
K09976,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1978,c_000000000020,,uncharacterized protein,
K02837,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1907,c_000000000019,,peptide chain release factor 3,
K02770,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1841,c_000000000018,,fructose PTS system EIIBC or EIIC component [EC:2.7.1.202],
K03320,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1737,c_000000000016,,"ammonium transporter, Amt family",
K15581,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1900,c_000000000019,,oligopeptide transport system permease protein,
K15581,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1308,c_000000000010,,oligopeptide transport system permease protein,
K10823,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1897,c_000000000019,,oligopeptide transport system ATP-binding protein,
K03687,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1947,c_000000000020,,molecular chaperone GrpE,
K08992,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1834,c_000000000018,,lipopolysaccharide assembly protein A,
K27959,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1990,c_000000000021,,lyso-form N-acyl lipoprotein transferase [EC:2.3.1.-],
K00882,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1840,c_000000000018,,1-phosphofructokinase [EC:2.7.1.56],
K03596,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1938,c_000000000020,,GTP-binding protein LepA,
K01356,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1980,c_000000000020,,repressor LexA [EC:3.4.21.88],
K07726,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2079,c_000000000022,,putative transcriptional regulator,
K08987,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1743,c_000000000016,,putative membrane protein,
K03436,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1839,c_000000000018,,"DeoR family transcriptional regulator, fructose operon transcriptional repressor",
K18189,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2007,c_000000000021,,translational activator of cytochrome c oxidase 1,
K07095,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2019,c_000000000021,,uncharacterized protein,
K03768,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1988,c_000000000021,,peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],
K07447,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2027,c_000000000021,,putative pre-16S rRNA nuclease [EC:3.1.-.-],
K16566,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1930,c_000000000019,,exopolysaccharide production protein ExoY,
K02077,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1339,c_000000000010,,zinc/manganese transport system substrate-binding protein,
K02077,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1805,c_000000000017,,zinc/manganese transport system substrate-binding protein,
K09888,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2025,c_000000000021,,cell division protein ZapA,
K03778,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1066,c_000000000007,,D-lactate dehydrogenase [EC:1.1.1.28],
K03778,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1974,c_000000000020,,D-lactate dehydrogenase [EC:1.1.1.28],
K01190,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2074,c_000000000022,,beta-galactosidase [EC:3.2.1.23],
K07456,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2024,c_000000000021,,DNA mismatch repair protein MutS2,
K17686,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1785,c_000000000017,,P-type Cu+ transporter [EC:7.2.2.8],
K00111,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1756,c_000000000016,,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],
K00105,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1756,c_000000000016,,alpha-glycerophosphate oxidase [EC:1.1.3.21],
K03550,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2037,c_000000000021,,holliday junction DNA helicase RuvA,
K03544,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1860,c_000000000018,,ATP-dependent Clp protease ATP-binding subunit ClpX,
K03975,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1989,c_000000000021,,membrane-associated protein,
K03975,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2221,c_000000000026,,membrane-associated protein,
K08161,P2505_Sourdough_Lib,P2505_Sourdough_Lib,248,c_000000000002,,"MFS transporter, DHA1 family, multidrug resistance protein",
K08161,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1866,c_000000000018,,"MFS transporter, DHA1 family, multidrug resistance protein",
K08161,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1372,c_000000000011,,"MFS transporter, DHA1 family, multidrug resistance protein",
K03545,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1861,c_000000000018,,trigger factor,
K03551,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2036,c_000000000021,,holliday junction DNA helicase RuvB [EC:5.6.2.4],
K20391,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1081,c_000000000008,,"HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes",
K20391,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1212,c_000000000009,,"HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes",
K20391,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1790,c_000000000017,,"HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes",
K22960,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1139,c_000000000008,,gallate decarboxylase subunit D,
K15539,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1243,c_000000000009,,cytoskeleton protein RodZ,
K03826,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1084,c_000000000008,,putative acetyltransferase [EC:2.3.1.-],
K08998,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1200,c_000000000009,,uncharacterized protein,
K06221,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2084,c_000000000023,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K06221,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2085,c_000000000023,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K06221,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1101,c_000000000008,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K06221,P2505_Sourdough_Lib,P2505_Sourdough_Lib,244,c_000000000002,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K06221,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1365,c_000000000011,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K05338,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1290,c_000000000010,,holin-like protein,
K05339,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1291,c_000000000010,,holin-like protein LrgB,
K06973,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1294,c_000000000010,,uncharacterized protein,
K03610,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1235,c_000000000009,,septum site-determining protein MinC,
K03572,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1250,c_000000000009,,DNA mismatch repair protein MutL,
K06153,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1361,c_000000000011,,undecaprenyl-diphosphatase [EC:3.6.1.27],
K07271,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1041,c_000000000007,,lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-],
K05937,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1553,c_000000000013,,uncharacterized protein,
K05937,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1090,c_000000000008,,uncharacterized protein,
K05937,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2630,c_000000000039,,uncharacterized protein,
K00865,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1299,c_000000000010,,glycerate 2-kinase [EC:2.7.1.165],
K02069,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1268,c_000000000010,,UDP-glucose/iron transport system permease protein,
K03571,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1234,c_000000000009,,rod shape-determining protein MreD,
K19267,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1272,c_000000000010,,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],
K19267,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1411,c_000000000011,,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],
K22959,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1138,c_000000000008,,gallate decarboxylase subunit B,
K02493,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1184,c_000000000009,,release factor glutamine methyltransferase [EC:2.1.1.297],
K03558,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1338,c_000000000010,,membrane protein required for colicin V production,
K03570,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1233,c_000000000009,,rod shape-determining protein MreC,
K02068,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1269,c_000000000010,,UDP-glucose/iron transport system ATP-binding protein,
K00432,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1100,c_000000000008,,glutathione peroxidase [EC:1.11.1.9],
K07566,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1185,c_000000000009,,L-threonylcarbamoyladenylate synthase [EC:2.7.7.87],
K18888,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1173,c_000000000009,,"ATP-binding cassette, subfamily B, multidrug efflux pump",
K06518,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1290,c_000000000010,,holin-like protein,
K00009,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1109,c_000000000008,,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],
K02810,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1069,c_000000000008,,sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211],
K05825,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1254,c_000000000010,,2-aminoadipate transaminase [EC:2.6.1.-],
K11065,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1228,c_000000000009,,thioredoxin-dependent peroxiredoxin [EC:1.11.1.24],
K09825,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1285,c_000000000010,,"Fur family transcriptional regulator, peroxide stress response regulator",
K01921,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1210,c_000000000009,,D-alanine-D-alanine ligase [EC:6.3.2.4],
K04487,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1225,c_000000000009,,cysteine desulfurase [EC:2.8.1.7],
K04487,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1469,c_000000000012,,cysteine desulfurase [EC:2.8.1.7],
K02800,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1106,c_000000000008,,mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197],
K10009,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1256,c_000000000010,,L-cystine transport system permease protein,
K06131,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1311,c_000000000010,,cardiolipin synthase A/B [EC:2.7.8.-],
K02424,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1258,c_000000000010,,L-cystine transport system substrate-binding protein,
K02424,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1255,c_000000000010,,L-cystine transport system substrate-binding protein,
K01265,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1129,c_000000000008,,methionyl aminopeptidase [EC:3.4.11.18],
K03711,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1285,c_000000000010,,"Fur family transcriptional regulator, ferric uptake regulator",
K05837,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1202,c_000000000009,,peptidoglycan glycosyltransferase [EC:2.4.99.28],
K05837,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1826,c_000000000018,,peptidoglycan glycosyltransferase [EC:2.4.99.28],
K18682,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1247,c_000000000009,,ribonucrease Y [EC:3.1.-.-],
K03315,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1416,c_000000000011,,"Na+:H+ antiporter, NhaC family",
K03315,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1076,c_000000000008,,"Na+:H+ antiporter, NhaC family",
K06286,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1224,c_000000000009,,septation ring formation regulator,
K09769,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1248,c_000000000009,,"2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]",
K00995,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1244,c_000000000009,,CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5],
K03457,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1386,c_000000000011,,"nucleobase:cation symporter-1, NCS1 family",
K07816,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1434,c_000000000012,,GTP pyrophosphokinase [EC:2.7.6.5],
K07816,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1158,c_000000000008,,GTP pyrophosphokinase [EC:2.7.6.5],
K01042,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1123,c_000000000008,,L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1],
K16264,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1327,c_000000000010,,cobalt-zinc-cadmium efflux system protein,
K01281,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1051,c_000000000007,,X-Pro dipeptidyl-peptidase [EC:3.4.14.11],
K16925,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1099,c_000000000008,,energy-coupling factor transport system permease protein,
K01518,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1057,c_000000000007,,bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17],
K02777,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1136,c_000000000008,,sugar PTS system EIIA component [EC:2.7.1.-],
K02777,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2988,c_000000000061,,sugar PTS system EIIA component [EC:2.7.1.-],
K02777,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1278,c_000000000010,,sugar PTS system EIIA component [EC:2.7.1.-],
K02777,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1135,c_000000000008,,sugar PTS system EIIA component [EC:2.7.1.-],
K02824,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1188,c_000000000009,,uracil permease,
K07009,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1180,c_000000000009,,lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13],
K26993,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1218,c_000000000009,,"ArsR family transcriptional regulator, repressor of sdpIR and other operons",
K02986,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1222,c_000000000009,,small subunit ribosomal protein S4,
K03483,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1107,c_000000000008,,mannitol operon transcriptional activator,
K02564,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1104,c_000000000008,,glucosamine-6-phosphate deaminase [EC:3.5.99.6],
K11068,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1325,c_000000000010,,hemolysin III,
K02835,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1183,c_000000000009,,peptide chain release factor 1,
K03524,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1049,c_000000000007,,"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",
K03524,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1723,c_000000000016,,"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",
K01119,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1367,c_000000000011,,"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",
K18887,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1172,c_000000000009,,"ATP-binding cassette, subfamily B, multidrug efflux pump",
K02798,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1108,c_000000000008,,mannitol PTS system EIIA component [EC:2.7.1.197],
K03486,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1594,c_000000000014,,"GntR family transcriptional regulator, trehalose operon transcriptional repressor",
K03486,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1133,c_000000000008,,"GntR family transcriptional regulator, trehalose operon transcriptional repressor",
K03651,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1288,c_000000000010,,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",
K03651,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1842,c_000000000018,,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",
K00364,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1304,c_000000000010,,GMP reductase [EC:1.7.1.7],
K03484,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1071,c_000000000008,,"LacI family transcriptional regulator, sucrose operon repressor",
K01873,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1229,c_000000000009,,valyl-tRNA synthetase [EC:6.1.1.9],
K23393,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1181,c_000000000009,,lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13],
K04063,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1052,c_000000000007,,lipoyl-dependent peroxiredoxin [EC:1.11.1.28],
K00761,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1187,c_000000000009,,uracil phosphoribosyltransferase [EC:2.4.2.9],
K23518,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1360,c_000000000011,,O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106],
K02071,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1204,c_000000000009,,D-methionine transport system ATP-binding protein,
K02071,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1517,c_000000000013,,D-methionine transport system ATP-binding protein,
K02071,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1726,c_000000000016,,D-methionine transport system ATP-binding protein,
K03569,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1232,c_000000000009,,rod shape-determining protein MreB and related proteins,
K03569,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1199,c_000000000009,,rod shape-determining protein MreB and related proteins,
K03555,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1249,c_000000000009,,DNA mismatch repair protein MutS,
K03743,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1245,c_000000000009,,nicotinamide-nucleotide amidase [EC:3.5.1.42],
K01182,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1077,c_000000000008,,"oligo-1,6-glucosidase [EC:3.2.1.10]",
K00868,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1056,c_000000000007,,pyridoxine kinase [EC:2.7.1.35],
K07478,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1216,c_000000000009,,putative ATPase,
K07478,P2505_Sourdough_Lib,P2505_Sourdough_Lib,74,c_000000000001,,putative ATPase,
K07478,P2505_Sourdough_Lib,P2505_Sourdough_Lib,94,c_000000000001,,putative ATPase,
K06994,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1160,c_000000000008,,putative drug exporter of the RND superfamily,
K02072,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1205,c_000000000009,,D-methionine transport system permease protein,
K02072,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1518,c_000000000013,,D-methionine transport system permease protein,
K02072,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1727,c_000000000016,,D-methionine transport system permease protein,
K01552,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1098,c_000000000008,,energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-],
K01552,P2505_Sourdough_Lib,P2505_Sourdough_Lib,236,c_000000000002,,energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-],
K02073,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1725,c_000000000016,,D-methionine transport system substrate-binding protein,
K02073,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1206,c_000000000009,,D-methionine transport system substrate-binding protein,
K02073,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1519,c_000000000013,,D-methionine transport system substrate-binding protein,
K00857,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1182,c_000000000009,,thymidine kinase [EC:2.7.1.21],
K03609,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1236,c_000000000009,,septum site-determining protein MinD,
