Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,45709_F01_Reference,ASM167680v1_TraditionalKoreanKimichi,ASM211732v1_BrewerySurface,ASM211734v1_WheatBeer,ASM276217v1_FemaleGut,ASM3988027v1_TenebrioMolitorFeces,ASM5041081v1_TomatoeFruit,ASM622820v1_BeerKeg,ASM622828v1_Beer,LBPURC4201_assembly_Sourdough
rplJ,rplJ,Large ribosomal subunit protein uL10,10,10,1.0,1,2835,,,,507,507,507.0,JECDCPOO_00635,KDAEOHOB_00894,OPNKAGHI_02013,KAHEJOMD_00681,HMEEEBGO_01159,KGEHKDDB_00645,GMGKJONF_00672,HLLCJJMH_00687,BMKFACGC_00678,FHDKMCMF_02450
mshD_1,mshD_1,Mycothiol acetyltransferase,10,10,1.0,1,2834,,,,507,507,507.0,JECDCPOO_00587,KDAEOHOB_00845,OPNKAGHI_02064,KAHEJOMD_00628,HMEEEBGO_01207,KGEHKDDB_00597,GMGKJONF_00624,HLLCJJMH_00634,BMKFACGC_00630,FHDKMCMF_02498
group_1593,xylP_3,Isoprimeverose transporter,10,10,1.0,1,2829,,,,1401,1401,1401.0,JECDCPOO_00499,KDAEOHOB_00759,OPNKAGHI_02160,KAHEJOMD_00537,HMEEEBGO_01301,KGEHKDDB_00498,GMGKJONF_00533,HLLCJJMH_00543,BMKFACGC_00534,FHDKMCMF_00080
group_1592,,hypothetical protein,10,10,1.0,1,2828,,,,510,510,510.0,JECDCPOO_00947,KDAEOHOB_01223,OPNKAGHI_01682,KAHEJOMD_01090,HMEEEBGO_00724,KGEHKDDB_00947,GMGKJONF_01000,HLLCJJMH_00996,BMKFACGC_01621,FHDKMCMF_02148
ypjQ,ypjQ,putative protein YpjQ,10,10,1.0,1,2827,,,,510,510,510.0,JECDCPOO_00917,KDAEOHOB_01193,OPNKAGHI_01712,KAHEJOMD_01060,HMEEEBGO_00843,KGEHKDDB_00917,GMGKJONF_00970,HLLCJJMH_00966,BMKFACGC_01002,FHDKMCMF_02178
tpx,tpx,Thiol peroxidase,10,10,1.0,1,2826,,,,510,510,510.0,JECDCPOO_00831,KDAEOHOB_01112,OPNKAGHI_01797,KAHEJOMD_00975,HMEEEBGO_00928,KGEHKDDB_00836,GMGKJONF_00886,HLLCJJMH_00885,BMKFACGC_00911,FHDKMCMF_02259
group_1591,,hypothetical protein,10,10,1.0,1,2825,,,,510,510,510.0,JECDCPOO_00211,KDAEOHOB_00467,OPNKAGHI_02460,KAHEJOMD_00248,HMEEEBGO_01591,KGEHKDDB_00210,GMGKJONF_00236,HLLCJJMH_00254,BMKFACGC_00232,FHDKMCMF_00369
nrdF2,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,10,10,1.0,1,2822,,,,996,996,996.0,JECDCPOO_00640,KDAEOHOB_00904,OPNKAGHI_02008,KAHEJOMD_00691,HMEEEBGO_01149,KGEHKDDB_00650,GMGKJONF_00683,HLLCJJMH_00692,BMKFACGC_00688,FHDKMCMF_02445
cspR,cspR,Putative tRNA (cytidine(34)-2'-O)-methyltransferase,10,10,1.0,1,2817,,,,513,513,513.0,JECDCPOO_01473,KDAEOHOB_01813,OPNKAGHI_01138,KAHEJOMD_01623,HMEEEBGO_00064,KGEHKDDB_01545,GMGKJONF_01596,HLLCJJMH_01646,BMKFACGC_01095,FHDKMCMF_01627
nagC_2~~~nagC_1,nagC_2;nagC_1,DNA-binding transcriptional dual regulator NagC,10,10,1.0,1,2813,,,,1164,1164,1164.0,JECDCPOO_02190,KDAEOHOB_02436,OPNKAGHI_00347,KAHEJOMD_02323,HMEEEBGO_02174,KGEHKDDB_02211,GMGKJONF_02271,HLLCJJMH_02297,BMKFACGC_02284,FHDKMCMF_00942
gadB_2,gadB_2,Glutamate decarboxylase,10,10,1.0,1,2809,,,,1407,1407,1407.0,JECDCPOO_01966,KDAEOHOB_02236,OPNKAGHI_00557,KAHEJOMD_02103,HMEEEBGO_02403,KGEHKDDB_02013,GMGKJONF_02068,HLLCJJMH_02059,BMKFACGC_02078,FHDKMCMF_01146
atpF,atpF,ATP synthase subunit b,10,10,1.0,1,2807,,,,516,516,516.0,JECDCPOO_00802,KDAEOHOB_01083,OPNKAGHI_01827,KAHEJOMD_00944,HMEEEBGO_00957,KGEHKDDB_00807,GMGKJONF_00857,HLLCJJMH_00855,BMKFACGC_00881,FHDKMCMF_02288
rnhA_1~~~rnhA_2,rnhA_1;rnhA_2,14.7 kDa ribonuclease H-like protein,10,10,1.0,1,2801,,,,405,405,405.0,JECDCPOO_01195,KDAEOHOB_01456,OPNKAGHI_01424,KAHEJOMD_01327,HMEEEBGO_00488,KGEHKDDB_01181,GMGKJONF_01236,HLLCJJMH_01230,BMKFACGC_01398,FHDKMCMF_01913
group_1572,,hypothetical protein,10,10,1.0,1,2800,,,,588,588,588.0,JECDCPOO_02203,KDAEOHOB_02449,OPNKAGHI_00334,KAHEJOMD_02336,HMEEEBGO_02161,KGEHKDDB_02224,GMGKJONF_02284,HLLCJJMH_02310,BMKFACGC_02297,FHDKMCMF_00929
group_1571,,hypothetical protein,10,10,1.0,1,2799,,,,519,519,519.0,JECDCPOO_01529,KDAEOHOB_01870,OPNKAGHI_01075,KAHEJOMD_01747,HMEEEBGO_02834,KGEHKDDB_01663,GMGKJONF_01717,HLLCJJMH_01704,BMKFACGC_01631,FHDKMCMF_01502
apt,apt,Adenine phosphoribosyltransferase,10,10,1.0,1,2798,,,,519,519,519.0,JECDCPOO_01388,KDAEOHOB_01728,OPNKAGHI_01225,KAHEJOMD_01536,HMEEEBGO_00151,KGEHKDDB_01460,GMGKJONF_01509,HLLCJJMH_01560,BMKFACGC_01183,FHDKMCMF_01712
group_1570,,hypothetical protein,10,10,1.0,1,2797,,,,519,519,519.0,JECDCPOO_00873,KDAEOHOB_01154,OPNKAGHI_01753,KAHEJOMD_01017,HMEEEBGO_00886,KGEHKDDB_00878,GMGKJONF_00928,HLLCJJMH_00927,BMKFACGC_00953,FHDKMCMF_02217
idi,idi,Isopentenyl-diphosphate Delta-isomerase,10,10,1.0,1,2796,,,,519,519,519.0,JECDCPOO_00465,KDAEOHOB_00724,OPNKAGHI_02196,KAHEJOMD_00502,HMEEEBGO_01336,KGEHKDDB_00463,GMGKJONF_00498,HLLCJJMH_00508,BMKFACGC_00493,FHDKMCMF_00115
dppA_7~~~dppA_8,dppA_7;dppA_8,Dipeptide-binding protein,10,10,1.0,1,2795,,,,1656,1656,1656.0,JECDCPOO_02062,KDAEOHOB_02330,OPNKAGHI_00466,KAHEJOMD_02199,HMEEEBGO_02305,KGEHKDDB_02109,GMGKJONF_02164,HLLCJJMH_02162,BMKFACGC_02183,FHDKMCMF_01049
ykoD_1,ykoD_1,Putative HMP/thiamine import ATP-binding protein YkoD,10,10,1.0,1,2794,,,,1410,1410,1410.0,JECDCPOO_01947,KDAEOHOB_02217,OPNKAGHI_00576,KAHEJOMD_02084,HMEEEBGO_02422,KGEHKDDB_01994,GMGKJONF_02049,HLLCJJMH_02040,BMKFACGC_02058,FHDKMCMF_01165
queT,queT,Queuosine precursor transporter QueT,10,10,1.0,1,2792,,,,522,522,522.0,JECDCPOO_02469,KDAEOHOB_00224,OPNKAGHI_02613,KAHEJOMD_02594,HMEEEBGO_01859,KGEHKDDB_02504,GMGKJONF_02547,HLLCJJMH_02596,BMKFACGC_02580,FHDKMCMF_00652
group_1568,,hypothetical protein,10,10,1.0,1,2791,,,,522,522,522.0,JECDCPOO_02364,KDAEOHOB_00115,OPNKAGHI_00176,KAHEJOMD_02484,HMEEEBGO_01958,KGEHKDDB_02391,GMGKJONF_02443,HLLCJJMH_02472,BMKFACGC_02461,FHDKMCMF_00773
group_1567,,hypothetical protein,10,10,1.0,1,2790,,,,522,522,522.0,JECDCPOO_01713,KDAEOHOB_01960,OPNKAGHI_00814,KAHEJOMD_01841,HMEEEBGO_02739,KGEHKDDB_01756,GMGKJONF_01812,HLLCJJMH_01797,BMKFACGC_01823,FHDKMCMF_01409
bioY,bioY,Biotin transporter BioY,10,10,1.0,1,2789,,,,522,522,522.0,JECDCPOO_01094,KDAEOHOB_01368,OPNKAGHI_01527,KAHEJOMD_01235,HMEEEBGO_00578,KGEHKDDB_01093,GMGKJONF_01146,HLLCJJMH_01142,BMKFACGC_01464,FHDKMCMF_02002
group_1566,,Putative universal stress protein,10,10,1.0,1,2788,,,,522,522,522.0,JECDCPOO_00210,KDAEOHOB_00466,OPNKAGHI_02461,KAHEJOMD_00247,HMEEEBGO_01592,KGEHKDDB_00209,GMGKJONF_00235,HLLCJJMH_00253,BMKFACGC_00231,FHDKMCMF_00370
group_1562,,hypothetical protein,10,10,1.0,1,2784,,,,345,345,345.0,JECDCPOO_01953,KDAEOHOB_02223,OPNKAGHI_00570,KAHEJOMD_02090,HMEEEBGO_02416,KGEHKDDB_02000,GMGKJONF_02055,HLLCJJMH_02046,BMKFACGC_02065,FHDKMCMF_01159
group_1560,,hypothetical protein,10,10,1.0,1,2782,,,,525,525,525.0,JECDCPOO_02491,KDAEOHOB_00246,OPNKAGHI_02644,KAHEJOMD_02615,HMEEEBGO_01836,KGEHKDDB_02534,GMGKJONF_02570,HLLCJJMH_02631,BMKFACGC_02611,FHDKMCMF_00621
group_1559,,hypothetical protein,10,10,1.0,1,2781,,,,525,525,525.0,JECDCPOO_00692,KDAEOHOB_00956,OPNKAGHI_01952,KAHEJOMD_00743,HMEEEBGO_01097,KGEHKDDB_00702,GMGKJONF_00735,HLLCJJMH_00744,BMKFACGC_00742,FHDKMCMF_02393
group_1558,,hypothetical protein,10,10,1.0,1,2780,,,,525,525,525.0,JECDCPOO_00274,KDAEOHOB_00532,OPNKAGHI_02390,KAHEJOMD_00306,HMEEEBGO_01528,KGEHKDDB_00272,GMGKJONF_00302,HLLCJJMH_00317,BMKFACGC_00304,FHDKMCMF_00307
group_1557,,hypothetical protein,10,10,1.0,1,2779,,,,525,525,525.0,JECDCPOO_00226,KDAEOHOB_00482,OPNKAGHI_02442,KAHEJOMD_00264,HMEEEBGO_01576,KGEHKDDB_00225,GMGKJONF_00258,HLLCJJMH_00270,BMKFACGC_00249,FHDKMCMF_00354
group_1556,,hypothetical protein,10,10,1.0,1,2778,,,,525,525,525.0,JECDCPOO_00138,KDAEOHOB_00394,OPNKAGHI_02542,KAHEJOMD_00161,HMEEEBGO_01679,KGEHKDDB_00132,GMGKJONF_00163,HLLCJJMH_00180,BMKFACGC_00151,FHDKMCMF_00447
group_1555,ribZ_3,Riboflavin transporter RibZ,10,10,1.0,1,2777,,,,1413,1413,1413.0,JECDCPOO_02035,KDAEOHOB_02301,OPNKAGHI_00496,KAHEJOMD_02172,HMEEEBGO_02331,KGEHKDDB_02081,GMGKJONF_02135,HLLCJJMH_02135,BMKFACGC_02155,FHDKMCMF_01076
group_1554,,hypothetical protein,10,10,1.0,1,2776,,,,177,183,182.4,JECDCPOO_00381,KDAEOHOB_00638,OPNKAGHI_02272,KAHEJOMD_00412,HMEEEBGO_01422,KGEHKDDB_00378,GMGKJONF_00412,HLLCJJMH_00424,BMKFACGC_00417,FHDKMCMF_00201
lacS,lacS,Lactose permease,10,10,1.0,1,2774,,,,1425,1425,1425.0,JECDCPOO_02019,KDAEOHOB_02285,OPNKAGHI_00510,KAHEJOMD_02156,HMEEEBGO_02349,KGEHKDDB_02065,GMGKJONF_02119,HLLCJJMH_02118,BMKFACGC_02138,FHDKMCMF_01092
cysS,cysS,Cysteine--tRNA ligase,10,10,1.0,1,2773,,,,1413,1413,1413.0,JECDCPOO_00626,KDAEOHOB_00885,OPNKAGHI_02022,KAHEJOMD_00671,HMEEEBGO_01168,KGEHKDDB_00636,GMGKJONF_00663,HLLCJJMH_00677,BMKFACGC_00669,FHDKMCMF_02459
pduE,pduE,Propanediol dehydratase small subunit,10,10,1.0,1,2771,,,,528,528,528.0,JECDCPOO_01719,KDAEOHOB_01966,OPNKAGHI_00808,KAHEJOMD_01847,HMEEEBGO_02733,KGEHKDDB_01762,GMGKJONF_01818,HLLCJJMH_01803,BMKFACGC_01829,FHDKMCMF_01403
group_1551,,hypothetical protein,10,10,1.0,1,2770,,,,528,528,528.0,JECDCPOO_00837,KDAEOHOB_01118,OPNKAGHI_01791,KAHEJOMD_00981,HMEEEBGO_00922,KGEHKDDB_00842,GMGKJONF_00892,HLLCJJMH_00891,BMKFACGC_00917,FHDKMCMF_02253
group_1550,,hypothetical protein,10,10,1.0,1,2769,,,,498,498,498.0,JECDCPOO_00151,KDAEOHOB_00407,OPNKAGHI_02524,KAHEJOMD_00177,HMEEEBGO_01661,KGEHKDDB_00149,GMGKJONF_00174,HLLCJJMH_00193,BMKFACGC_00163,FHDKMCMF_00430
ywqN,ywqN,Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN,10,10,1.0,1,2767,,,,531,531,531.0,JECDCPOO_00025,KDAEOHOB_00280,OPNKAGHI_00023,KAHEJOMD_00024,HMEEEBGO_01797,KGEHKDDB_00022,GMGKJONF_00025,HLLCJJMH_00022,BMKFACGC_00022,FHDKMCMF_00585
group_1546,,hypothetical protein,10,10,1.0,1,2764,,,,531,531,531.0,JECDCPOO_01315,KDAEOHOB_01579,OPNKAGHI_01298,KAHEJOMD_01465,HMEEEBGO_00365,KGEHKDDB_01308,GMGKJONF_01354,HLLCJJMH_01374,BMKFACGC_01264,FHDKMCMF_01782
cysL,cysL,HTH-type transcriptional regulator CysL,10,10,1.0,1,2758,,,,888,888,888.0,JECDCPOO_00423,KDAEOHOB_00681,OPNKAGHI_02228,KAHEJOMD_00459,HMEEEBGO_01379,KGEHKDDB_00420,GMGKJONF_00455,HLLCJJMH_00466,BMKFACGC_00461,FHDKMCMF_00159
group_1540,,hypothetical protein,10,10,1.0,1,2757,,,,534,534,534.0,JECDCPOO_02492,KDAEOHOB_00247,OPNKAGHI_02645,KAHEJOMD_02616,HMEEEBGO_01835,KGEHKDDB_02535,GMGKJONF_02571,HLLCJJMH_02632,BMKFACGC_02612,FHDKMCMF_00620
yvqK_1,yvqK_1,Corrinoid adenosyltransferase,10,10,1.0,1,2756,,,,534,534,534.0,JECDCPOO_02007,KDAEOHOB_02278,OPNKAGHI_00517,KAHEJOMD_02145,HMEEEBGO_02360,KGEHKDDB_02054,GMGKJONF_02111,HLLCJJMH_02107,BMKFACGC_02126,FHDKMCMF_01103
msrA_1,msrA_1,Peptide methionine sulfoxide reductase MsrA,10,10,1.0,1,2755,,,,534,534,534.0,JECDCPOO_01236,KDAEOHOB_01500,OPNKAGHI_01378,KAHEJOMD_01371,HMEEEBGO_00444,KGEHKDDB_01225,GMGKJONF_01278,HLLCJJMH_01281,BMKFACGC_01355,FHDKMCMF_01866
folT,folT,Folate transporter FolT,10,10,1.0,1,2754,,,,534,534,534.0,JECDCPOO_01208,KDAEOHOB_01469,OPNKAGHI_01411,KAHEJOMD_01340,HMEEEBGO_00475,KGEHKDDB_01194,GMGKJONF_01249,HLLCJJMH_01243,BMKFACGC_01384,FHDKMCMF_01900
pyrR,pyrR,Bifunctional protein pyrR,10,10,1.0,1,2753,,,,534,534,534.0,JECDCPOO_01200,KDAEOHOB_01461,OPNKAGHI_01418,KAHEJOMD_01332,HMEEEBGO_00483,KGEHKDDB_01186,GMGKJONF_01241,HLLCJJMH_01235,BMKFACGC_01393,FHDKMCMF_01908
rplF,rplF,Large ribosomal subunit protein uL6,10,10,1.0,1,2749,,,,537,537,537.0,JECDCPOO_01789,KDAEOHOB_02056,OPNKAGHI_00741,KAHEJOMD_01916,HMEEEBGO_02661,KGEHKDDB_01828,GMGKJONF_01884,HLLCJJMH_01873,BMKFACGC_01895,FHDKMCMF_01335
group_1536,,hypothetical protein,10,10,1.0,1,2748,,,,537,537,537.0,JECDCPOO_00867,KDAEOHOB_01148,OPNKAGHI_01759,KAHEJOMD_01011,HMEEEBGO_00892,KGEHKDDB_00872,GMGKJONF_00922,HLLCJJMH_00921,BMKFACGC_00947,FHDKMCMF_02223
polC_1,polC_1,DNA polymerase III PolC-type,10,10,1.0,1,2747,,,,537,537,537.0,JECDCPOO_00723,KDAEOHOB_00987,OPNKAGHI_01921,KAHEJOMD_00774,HMEEEBGO_01066,KGEHKDDB_00733,GMGKJONF_00766,HLLCJJMH_00776,BMKFACGC_00775,FHDKMCMF_02362
padC,padC,Phenolic acid decarboxylase PadC,10,10,1.0,1,2746,,,,537,537,537.0,JECDCPOO_00230,KDAEOHOB_00488,OPNKAGHI_02438,KAHEJOMD_00268,HMEEEBGO_01572,KGEHKDDB_00228,GMGKJONF_00264,HLLCJJMH_00274,BMKFACGC_00255,FHDKMCMF_00350
group_1532,,hypothetical protein,10,10,1.0,1,2742,,,,540,540,540.0,JECDCPOO_02479,KDAEOHOB_00235,OPNKAGHI_02627,KAHEJOMD_02604,HMEEEBGO_01847,KGEHKDDB_02520,GMGKJONF_02558,HLLCJJMH_02617,BMKFACGC_02600,FHDKMCMF_00635
dut,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,10,10,1.0,1,2741,,,,540,540,540.0,JECDCPOO_00622,KDAEOHOB_00881,OPNKAGHI_02026,KAHEJOMD_00667,HMEEEBGO_01172,KGEHKDDB_00632,GMGKJONF_00659,HLLCJJMH_00673,BMKFACGC_00665,FHDKMCMF_02463
uidB,uidB,Glucuronide carrier protein,10,10,1.0,1,2737,,,,1419,1419,1419.0,JECDCPOO_00157,KDAEOHOB_00413,OPNKAGHI_02517,KAHEJOMD_00183,HMEEEBGO_01654,KGEHKDDB_00155,GMGKJONF_00180,HLLCJJMH_00199,BMKFACGC_00169,FHDKMCMF_00424
rplE,rplE,Large ribosomal subunit protein uL5,10,10,1.0,1,2736,,,,543,543,543.0,JECDCPOO_01791,KDAEOHOB_02058,OPNKAGHI_00739,KAHEJOMD_01918,HMEEEBGO_02659,KGEHKDDB_01830,GMGKJONF_01886,HLLCJJMH_01875,BMKFACGC_01898,FHDKMCMF_01333
nudF,nudF,ADP-ribose pyrophosphatase,10,10,1.0,1,2734,,,,543,543,543.0,JECDCPOO_01453,KDAEOHOB_01793,OPNKAGHI_01158,KAHEJOMD_01603,HMEEEBGO_00084,KGEHKDDB_01525,GMGKJONF_01575,HLLCJJMH_01625,BMKFACGC_01115,FHDKMCMF_01647
hslV,hslV,ATP-dependent protease subunit HslV,10,10,1.0,1,2733,,,,543,543,543.0,JECDCPOO_01246,KDAEOHOB_01510,OPNKAGHI_01366,KAHEJOMD_01381,HMEEEBGO_00434,KGEHKDDB_01235,GMGKJONF_01288,HLLCJJMH_01291,BMKFACGC_01342,FHDKMCMF_01856
group_1527,,GTP cyclohydrolase 1 type 2,10,10,1.0,1,2732,,,,807,807,807.0,JECDCPOO_01289,KDAEOHOB_01553,OPNKAGHI_01326,KAHEJOMD_01439,HMEEEBGO_00391,KGEHKDDB_01282,GMGKJONF_01328,HLLCJJMH_01348,BMKFACGC_01290,FHDKMCMF_01808
group_1526,,hypothetical protein,10,10,1.0,1,2731,,,,543,543,543.0,JECDCPOO_01029,KDAEOHOB_01304,OPNKAGHI_01594,KAHEJOMD_01171,HMEEEBGO_00643,KGEHKDDB_01028,GMGKJONF_01081,HLLCJJMH_01077,BMKFACGC_01530,FHDKMCMF_02067
group_1525,,hypothetical protein,10,10,1.0,1,2730,,,,543,543,543.0,JECDCPOO_00985,KDAEOHOB_01260,OPNKAGHI_01642,KAHEJOMD_01126,HMEEEBGO_00687,KGEHKDDB_00984,GMGKJONF_01037,HLLCJJMH_01033,BMKFACGC_01578,FHDKMCMF_02111
atpH,atpH,ATP synthase subunit delta,10,10,1.0,1,2729,,,,543,543,543.0,JECDCPOO_00803,KDAEOHOB_01084,OPNKAGHI_01826,KAHEJOMD_00945,HMEEEBGO_00956,KGEHKDDB_00808,GMGKJONF_00858,HLLCJJMH_00856,BMKFACGC_00882,FHDKMCMF_02287
hpt,hpt,Hypoxanthine-guanine phosphoribosyltransferase,10,10,1.0,1,2728,,,,543,543,543.0,JECDCPOO_00568,KDAEOHOB_00828,OPNKAGHI_02083,KAHEJOMD_00609,HMEEEBGO_01226,KGEHKDDB_00578,GMGKJONF_00605,HLLCJJMH_00615,BMKFACGC_00608,FHDKMCMF_00009
hxlB,hxlB,3-hexulose-6-phosphate isomerase,10,10,1.0,1,2727,,,,543,543,543.0,JECDCPOO_00479,KDAEOHOB_00738,OPNKAGHI_02181,KAHEJOMD_00516,HMEEEBGO_01322,KGEHKDDB_00477,GMGKJONF_00512,HLLCJJMH_00522,BMKFACGC_00509,FHDKMCMF_00101
group_1524,,hypothetical protein,10,10,1.0,1,2726,,,,543,543,543.0,JECDCPOO_00080,KDAEOHOB_00333,OPNKAGHI_00091,KAHEJOMD_00099,HMEEEBGO_01739,KGEHKDDB_00075,GMGKJONF_00102,HLLCJJMH_00120,BMKFACGC_00093,FHDKMCMF_00504
deoB_2~~~deoB_1,deoB_2;deoB_1,Phosphopentomutase,10,11,1.1,1,2724,,,,354,825,753.2727272727273,JECDCPOO_02215,KDAEOHOB_02461,OPNKAGHI_00322;OPNKAGHI_00321,KAHEJOMD_02348,HMEEEBGO_02149,KGEHKDDB_02236,GMGKJONF_02296,HLLCJJMH_02322,BMKFACGC_02309,FHDKMCMF_00917
cfiB,cfiB,2-oxoglutarate carboxylase small subunit,10,10,1.0,1,2721,,,,1422,1422,1422.0,JECDCPOO_01089,KDAEOHOB_01363,OPNKAGHI_01532,KAHEJOMD_01230,HMEEEBGO_00583,KGEHKDDB_01088,GMGKJONF_01140,HLLCJJMH_01137,BMKFACGC_01469,FHDKMCMF_02007
group_1521,,hypothetical protein,10,10,1.0,1,2720,,,,546,546,546.0,JECDCPOO_02150,KDAEOHOB_02397,OPNKAGHI_00399,KAHEJOMD_02270,HMEEEBGO_02238,KGEHKDDB_02176,GMGKJONF_02234,HLLCJJMH_02230,BMKFACGC_02258,FHDKMCMF_00978
group_1520,,hypothetical protein,10,10,1.0,1,2719,,,,546,546,546.0,JECDCPOO_01890,KDAEOHOB_02161,OPNKAGHI_00635,KAHEJOMD_02028,HMEEEBGO_02478,KGEHKDDB_01937,GMGKJONF_01989,HLLCJJMH_01983,BMKFACGC_01998,FHDKMCMF_01221
group_1518,,hypothetical protein,10,10,1.0,1,2717,,,,546,546,546.0,JECDCPOO_00629,KDAEOHOB_00888,OPNKAGHI_02019,KAHEJOMD_00674,HMEEEBGO_01165,KGEHKDDB_00639,GMGKJONF_00666,HLLCJJMH_00680,BMKFACGC_00672,FHDKMCMF_02456
group_1517,,hypothetical protein,10,10,1.0,1,2716,,,,546,546,546.0,JECDCPOO_00695,KDAEOHOB_00959,OPNKAGHI_01949,KAHEJOMD_00746,HMEEEBGO_01094,KGEHKDDB_00705,GMGKJONF_00738,HLLCJJMH_00747,BMKFACGC_00745,FHDKMCMF_02390
pepDA_1,pepDA_1,Dipeptidase A,10,10,1.0,1,2715,,,,1422,1422,1422.0,JECDCPOO_00289,KDAEOHOB_00548,OPNKAGHI_02368,KAHEJOMD_00321,HMEEEBGO_01514,KGEHKDDB_00287,GMGKJONF_00317,HLLCJJMH_00333,BMKFACGC_00321,FHDKMCMF_00292
pnp,pnp,Polyribonucleotide nucleotidyltransferase,10,10,1.0,1,2714,,,,546,546,546.0,JECDCPOO_00566,KDAEOHOB_00826,OPNKAGHI_02085,KAHEJOMD_00607,HMEEEBGO_01228,KGEHKDDB_00576,GMGKJONF_00602,HLLCJJMH_00613,BMKFACGC_00606,FHDKMCMF_00011
gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB,10,10,1.0,1,2710,,,,1518,1593,1525.5,JECDCPOO_01696,KDAEOHOB_01943,OPNKAGHI_00831,KAHEJOMD_01824,HMEEEBGO_02756,KGEHKDDB_01739,GMGKJONF_01794,HLLCJJMH_01780,BMKFACGC_01805,FHDKMCMF_01426
nusG,nusG,Transcription termination/antitermination protein NusG,10,10,1.0,1,2707,,,,549,549,549.0,JECDCPOO_00632,KDAEOHOB_00891,OPNKAGHI_02016,KAHEJOMD_00678,HMEEEBGO_01162,KGEHKDDB_00642,GMGKJONF_00669,HLLCJJMH_00684,BMKFACGC_00675,FHDKMCMF_02453
group_1509,,hypothetical protein,10,10,1.0,1,2703,,,,552,552,552.0,JECDCPOO_00598,KDAEOHOB_00857,OPNKAGHI_02052,KAHEJOMD_00640,HMEEEBGO_01196,KGEHKDDB_00608,GMGKJONF_00635,HLLCJJMH_00646,BMKFACGC_00641,FHDKMCMF_02487
trtA,trtA,Triuret hydrolase TrtA,10,10,1.0,1,2702,,,,552,552,552.0,JECDCPOO_00267,KDAEOHOB_00525,OPNKAGHI_02398,KAHEJOMD_00299,HMEEEBGO_01535,KGEHKDDB_00265,GMGKJONF_00295,HLLCJJMH_00310,BMKFACGC_00297,FHDKMCMF_00314
uxaC_1,uxaC_1,Uronate isomerase,10,10,1.0,1,2701,,,,1428,1428,1428.0,JECDCPOO_00156,KDAEOHOB_00412,OPNKAGHI_02518,KAHEJOMD_00182,HMEEEBGO_01655,KGEHKDDB_00154,GMGKJONF_00179,HLLCJJMH_00198,BMKFACGC_00168,FHDKMCMF_00425
group_1507,,hypothetical protein,10,10,1.0,1,2699,,,,1260,1464,1345.2,JECDCPOO_02197,KDAEOHOB_02443,OPNKAGHI_00340,KAHEJOMD_02330,HMEEEBGO_02167,KGEHKDDB_02218,GMGKJONF_02278,HLLCJJMH_02304,BMKFACGC_02291,FHDKMCMF_00935
group_1503,,hypothetical protein,10,10,1.0,1,2695,,,,171,171,171.0,JECDCPOO_00619,KDAEOHOB_00878,OPNKAGHI_02029,KAHEJOMD_00661,HMEEEBGO_01175,KGEHKDDB_00629,GMGKJONF_00656,HLLCJJMH_00670,BMKFACGC_00662,FHDKMCMF_02466
group_1502,,hypothetical protein,10,10,1.0,1,2694,,,,555,555,555.0,JECDCPOO_00993,KDAEOHOB_01268,OPNKAGHI_01634,KAHEJOMD_01134,HMEEEBGO_00679,KGEHKDDB_00992,GMGKJONF_01045,HLLCJJMH_01041,BMKFACGC_01570,FHDKMCMF_02103
group_1501,,hypothetical protein,10,10,1.0,1,2693,,,,1233,1233,1233.0,JECDCPOO_00617,KDAEOHOB_00876,OPNKAGHI_02031,KAHEJOMD_00659,HMEEEBGO_01177,KGEHKDDB_00627,GMGKJONF_00654,HLLCJJMH_00668,BMKFACGC_00660,FHDKMCMF_02468
bglR,;bglR,Beta-glucuronidase,10,11,1.1,1,2688,,,,585,1812,1647.2727272727273,JECDCPOO_00159,KDAEOHOB_00415,OPNKAGHI_02515,KAHEJOMD_00186;KAHEJOMD_00185,HMEEEBGO_01652,KGEHKDDB_00157,GMGKJONF_00182,HLLCJJMH_00201,BMKFACGC_00171,FHDKMCMF_00422
group_1494,,Nucleoside triphosphate/diphosphate phosphatase,10,10,1.0,1,2685,,,,558,558,558.0,JECDCPOO_01673,KDAEOHOB_01920,OPNKAGHI_00858,KAHEJOMD_01801,HMEEEBGO_02780,KGEHKDDB_01717,GMGKJONF_01772,HLLCJJMH_01758,BMKFACGC_01782,FHDKMCMF_01448
frr,frr,Ribosome-recycling factor,10,10,1.0,1,2684,,,,558,558,558.0,JECDCPOO_01358,KDAEOHOB_01697,OPNKAGHI_01257,KAHEJOMD_01507,HMEEEBGO_00243,KGEHKDDB_01431,GMGKJONF_01479,HLLCJJMH_01416,BMKFACGC_01216,FHDKMCMF_01741
